business_type,licenses_required,documents_needed,fees,government_schemes,steps,timeframe
Street Food Stall,FSSAI Basic Registration; Street Vending License (PM SVANidhi),Aadhaar; PAN; Passport Photo; Address Proof; Vending Zone Certificate from ULB,FSSAI: ₹100/year; SVANidhi Registration: Free,PM SVANidhi Scheme (working capital loan ₹10000-50000); PM FME; National Street Food Policy benefits,1. Register on PMSVANidhi portal (pmsvanidhi.mohua.gov.in); 2. FSSAI Basic registration; 3. Get surveyed by ULB for vending certificate; 4. Open Jan Dhan account for loan,10-20 days
Ice Cream / Frozen Food,FSSAI State License; GST Registration; Cold Storage License (if applicable); MSME Registration,Aadhaar; PAN; Business Address; Cold Chain Equipment Details; Water Test; Product List,FSSAI: ₹2000-5000/year; Cold Storage License: ₹2000-5000,PM FME Scheme; MSME Technology Upgradation; CGTMSE Loan; NHB Cold Chain Subsidy,1. FSSAI State License; 2. GST registration; 3. Udyam MSME registration; 4. Cold chain/storage license if needed; 5. NABARD/NHB subsidy application,30-45 days
Pickle / Papad / Masala (Cottage),FSSAI Basic Registration; GST (if turnover >₹20L); Udyam MSME Registration,Aadhaar; PAN; Address Proof; Product List; Kitchen/Unit Photos,FSSAI: ₹100/year; Udyam: Free; GST: Free,PM FME Scheme (₹10L grant for upgradation); MSME Cluster Development; SHG-linked loans (for women),1. FSSAI Basic on foscos.fssai.gov.in; 2. Udyam registration; 3. GST if needed; 4. Apply PM FME grant through District Resource Person,7-15 days
Juice Bar / Smoothie Shop,FSSAI Basic or State License; GST; Shop & Establishment License; Municipal Trade License,Aadhaar; PAN; Shop Address Proof; Water Test; NOC from landlord,FSSAI: ₹100-2000/year; Shop & Est: ₹500-1500; Municipal: ₹500-2000,MUDRA Loan Shishu/Kishore; PM FME; State SC/ST/Women entrepreneur schemes,1. FSSAI license (basic if small); 2. Shop & Est registration; 3. Municipal trade license; 4. GST registration; 5. Start operations,15-30 days
Organic Food Store,FSSAI State License; Organic Certification (NPOP/PGS); GST; Shop & Establishment,Aadhaar; PAN; Shop Proof; NPOP Certificate from certifying agency; Supplier agreements,FSSAI: ₹2000-5000/year; NPOP Certification: ₹5000-20000; GST: Free,APEDA Organic Promotion; PM FME; Agricultural & Processed Food Products Export Development schemes,1. FSSAI State License; 2. Apply NPOP certification via accredited body; 3. GST; 4. Shop & Est; 5. Tie-up with organic farmers/suppliers,45-75 days
Meat / Poultry Shop,FSSAI State License; GST; Municipal Slaughter/Meat Shop License; Pollution Control Board NOC,Aadhaar; PAN; Shop Address; Municipal NOC; Veterinary Health Certificate; Water Test,FSSAI: ₹2000-5000/year; Municipal Meat License: ₹2000-10000; PCB NOC: varies,MSME Udyam Registration; State Animal Husbandry schemes; NLM (National Livestock Mission),1. Municipal meat shop license; 2. FSSAI State License; 3. PCB NOC; 4. GST registration; 5. Udyam registration for MSME benefits,45-60 days
Confectionery / Sweet Shop,FSSAI State License; GST; Shop & Establishment; Local Municipal License,Aadhaar; PAN; Shop Address Proof; Water Test; Equipment List; Staff Medical Certificates,FSSAI: ₹2000-5000/year; Shop & Est: ₹500-2000; Municipal: ₹500-2000,PM FME Scheme; MUDRA Loan; MSME Cluster Scheme; One District One Product (ODOP),1. FSSAI State License; 2. Shop & Est registration; 3. Municipal trade license; 4. GST; 5. ODOP registration if product qualifies,30-45 days
Food Export Business,FSSAI Central License; IEC (Import Export Code); GST; APEDA Registration; AD Code Registration,Aadhaar; PAN; Company Registration; Current Bank Account; Address Proof; Product Test Reports; IEC Certificate,FSSAI: ₹7500/year; IEC: ₹500; APEDA: ₹5000 (5 years); GST: Free,APEDA Export Promotion schemes; DGFT MEIS/RoDTEP; Market Access Initiative (MAI) scheme,1. Company/LLP registration; 2. FSSAI Central License; 3. GST; 4. Apply IEC on DGFT portal; 5. APEDA registration; 6. AD Code with bank,45-75 days
Canteen / Institutional Catering,FSSAI State License; GST; Shop & Establishment; Contract with Institution,Aadhaar; PAN; Business Address; Staff Medical Certs; Previous experience proof; Water Test,FSSAI: ₹2000-5000/year; GST: Free; Shop & Est: ₹1000-2000,MSME Udyam Registration; GeM Portal registration for govt canteen tenders; NSIC Single Point Registration,1. FSSAI State License; 2. GST registration; 3. Udyam MSME registration; 4. Register on GeM portal; 5. Bid for institutional tenders,30-45 days
Spice Processing Unit,FSSAI State/Central License; GST; Spices Board Registration; MSME/Factory Registration; Legal Metrology,Aadhaar; PAN; Factory/Unit Address; Spices Board Certificate; Equipment List; Product Lab Test Reports,FSSAI: ₹2000-7500/year; Spices Board: ₹3000-10000; Factory Reg: ₹2000-10000,Spices Board of India Export schemes; PM FME; MSME Technology Upgradation Scheme (CLCSS),1. FSSAI State/Central license; 2. Spices Board registration (spicesboard.gov.in); 3. Factory/MSME registration; 4. GST; 5. Legal metrology registration; 6. Export if needed - IEC + APEDA,45-75 days
